商品CD,呼び径1,呼び径2,呼び径3,年号,倉庫部門CD,年月度,現在庫_完成品数,現在庫_出荷予定数,最終更新日,最終更新時刻
asdfasd
KKSE 000     , 300, 200,   ,2023,2,00000000,0,0,20241213,010509
GGTE 000     , 150, 150,   ,2023,3,00000000,0,0,20241213,010334
FSPER000     ,  75, 500,   ,2023,3,00000000,0,0,20241213,010247
GUBD 919     , 200,    ,   ,2023,1,00000000,0,0,20241213,010350
2RP  000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010058
4RP  000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010104
4RP  000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010104
1RP  000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010050
2BN  000     , M16,  75,   ,2023,1,00000000,0,0,20241213,010055
2BN  000     , M16,  85,   ,2023,1,00000000,0,0,20241213,010055
4RP 2000     ,  75,    ,   ,2023,1,00000000,0,0,20230116,105920
2RP  000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010058
KFTER000     , 100,  75,   ,2023,2,00000000,0,0,20241213,010442
GGHE 113     , 300,    ,   ,2023,1,00000000,1,0,20241213,010330
FHNER000     ,  50,    ,   ,2023,3,00000000,0,0,20241213,010222
K11E 000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010400
GGTE 000     ,  75,  75,   ,2023,3,00000000,0,0,20241213,010333
GVTEA000     ,  75,  75,   ,2023,3,00000000,0,0,20241213,010352
DFH1 LR000   ,  75,    ,   ,2023,3,00000000,0,0,20241213,010132
DFAAHTG000   ,  75, 150,   ,2023,3,00000000,0,0,20240223,022541
GJRE 000     , 150,    ,   ,2023,3,00000000,0,0,20241213,010340
GS1EA000     , 150,    ,   ,2023,3,00000000,0,0,20241213,010343
KKSE 000     , 150, 100,   ,2023,3,00000000,0,0,20241213,010507
K45E 000     , 150,    ,   ,2023,3,00000000,0,0,20241213,010421
KKTE 000     , 150,  75,   ,2023,3,00000000,0,0,20241213,010518
