商品CD,呼び径1,呼び径2,呼び径3,年号,倉庫部門CD,年月度,現在庫_完成品数,現在庫_出荷予定数,最終更新日,最終更新時刻
asdfasd
KFTED000     , 250,  75,   ,2022,2,00000000,0,0,20241213,010440
F3TER000     , 200, 100,   ,2022,2,00000000,1,1,20241213,010148
ZPFE2001     ,  75,  75,   ,2022,2,00000000,0,0,20241004,102650
KJRE 000     , 500,    ,   ,2022,2,00000000,0,0,20241213,010456
FFCER000     , 350,    ,   ,2022,2,00000000,0,0,20241213,010216
FFCEA000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010212
FFCEA000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010213
KKUE 000     , 200, 150,   ,2022,2,00000000,0,0,20241213,010530
KUTER000     , 150,  75,   ,2022,2,00000000,0,0,20241213,010623
K11E 000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010401
KP1E 000     , 400,    ,   ,2022,2,00000000,0,0,20241213,010541
KS2EA000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010609
GG4E 000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010326
FFCED000     , 300,    ,   ,2022,1,00000000,0,0,20241213,010214
FSPEF000     , 100, 200,   ,2022,1,00000000,0,0,20220131,102443
FSPEF000     ,  75, 300,   ,2022,1,00000000,0,0,20241213,010244
K22E 000     , 400,    ,   ,2022,2,00000000,1,0,20241213,010412
KUTEA000     , 200,  75,   ,2022,2,00000000,0,0,20241213,010623
KKSE 000     , 400, 350,   ,2022,1,00000000,0,0,20241213,010510
K22E 000     , 400,    ,   ,2022,1,00000000,0,0,20241213,010412
KKUE 000     , 500, 400,   ,2022,1,00000000,0,0,20241213,010533
KKTE 000     , 250, 250,   ,2022,2,00000000,0,0,20241213,010519
KKME 000     , 250, 100,   ,2022,2,00000000,0,0,20241213,010503
KKUE 000     , 250, 200,   ,2022,2,00000000,0,0,20241213,010531
G45N 113     , 150,    ,   ,2022,1,00000000,0,0,20241213,010318
KS1DR000     , 100,    ,   ,2022,1,00000000,0,0,20241213,010546
GGSN 000     , 150, 100,   ,2022,1,00000000,0,0,20241213,010332
E45D 990     ,  75,    ,   ,2022,1,00000000,0,0,20241213,010140
E45D 990     , 100,    ,   ,2022,1,00000000,0,0,20241213,010140
EETD 990     , 100, 100,   ,2022,1,00000000,0,0,20241213,010141
G45E SIN     , 100,    ,   ,2022,3,00000000,0,0,20220408,172842
G90E SIN     , 100,    ,   ,2022,3,00000000,0,0,20220330,155735
G05E SIN     , 100,    ,   ,2022,3,00000000,0,0,20220408,172842
G22E SIN     , 100,    ,   ,2022,3,00000000,0,0,20220330,160056
GJRE SIN     , 100,    ,   ,2022,3,00000000,0,0,20220408,172842
GJRE SIN     ,  75,    ,   ,2022,3,00000000,0,0,20220322,111557
G11E SIN     ,  75,    ,   ,2022,3,00000000,0,0,20220330,153530
G05E SIN     ,  75,    ,   ,2022,3,00000000,0,0,20220228,131116
G45E SIN     ,  75,    ,   ,2022,3,00000000,0,0,20220322,111447
G22E SIN     ,  75,    ,   ,2022,3,00000000,2,0,20241213,010315
KKUD 000     , 350, 250,   ,2022,1,00000000,0,0,20241213,010529
FSPER000     , 100, 300,   ,2022,1,00000000,0,0,20241213,010247
GS2EASIN     , 150,    ,   ,2022,3,00000000,0,0,20220303,140657
GGTE SIN     , 100, 100,   ,2022,3,00000000,0,0,20220316,143212
GFTEASIN     , 100,  75,   ,2022,3,00000000,0,0,20220316,143212
GGUE SIN     , 150, 100,   ,2022,3,00000000,0,0,20220315,113119
GGHE SIN     ,  75,    ,   ,2022,3,00000000,0,0,20220330,154156
G11E SIN     , 100,    ,   ,2022,3,00000000,1,0,20241213,010312
KS1Z2000     , 200,    ,   ,2022,2,00000000,0,0,20221114,001416
FSPEA000     , 100, 400,   ,2022,2,00000000,0,0,20241213,010240
KJRC 000     , 250,    ,   ,2022,3,00000000,0,0,20220121,130517
KJRC 000     , 100,    ,   ,2022,3,00000000,0,0,20241213,010451
FSPES00A     ,  75, 200,   ,2022,3,00000000,0,0,20241213,010251
DEAA CG794   ,  75, 150,   ,2022,1,00000000,0,0,20240708,102157
TFTER000     ,  75,  75,   ,2022,3,00000000,0,0,20241213,010759
TP1E 000     ,  75,    ,   ,2022,3,00000000,0,0,20241213,010801
KP1E 000     , 200,    ,   ,2022,3,00000000,0,0,20241213,010540
FSPER000     ,  75, 200,   ,2022,11,00000000,0,0,20241213,010246
KKUE 000     , 500, 300,   ,2022,1,00000000,0,0,20241213,010533
F3TE2000     ,  75,  75,   ,2022,1,00000000,0,0,20220201,155232
F3TE2000     ,  75,  75,   ,2022,2,00000000,0,0,20230515,001452
PRGB 000     , 200,    ,   ,2022,1,00000000,2,0,20241213,010744
KKUE 000     , 200, 100,   ,2022,1,00000000,0,0,20241213,010530
FTMDR000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010304
F90DR000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010158
F3TDR000     , 100,  75,   ,2022,2,00000000,0,0,20241213,010144
KUTDR000     , 250,  75,   ,2022,2,00000000,0,0,20241213,010622
T11E 000     , 150,    ,   ,2022,3,00000000,0,0,20241213,010753
T45E 000     , 150,    ,   ,2022,3,00000000,0,0,20241213,010755
GJRE SIN     , 100,    ,   ,2021,3,00000000,158,0,20241213,010341
GGUE SIN     , 100,  75,   ,2021,3,00000000,18,0,20241213,010339
G90E SIN     ,  75,    ,   ,2021,3,00000000,55,0,20241213,010320
GG4E SIN     , 100,    ,   ,2021,3,00000000,122,0,20241213,010328
GG4E SIN     ,  75,    ,   ,2021,3,00000000,61,0,20241213,010328
GS2EASIN     , 100,    ,   ,2021,3,00000000,10,0,20241213,010347
GGTE SIN     , 100, 100,   ,2021,3,00000000,33,0,20241213,010336
GGTE SIN     , 100,  75,   ,2021,3,00000000,47,0,20241213,010336
GGTE SIN     ,  75,  75,   ,2021,3,00000000,20,0,20241213,010336
PRGB SIN     , 100,    ,   ,2021,3,00000000,0,0,20241213,010744
1RG  SIN     , 100,    ,   ,2021,3,00000000,0,0,20241213,010048
3UT  SIN     , M20, 100,   ,2021,3,00000000,0,0,20241213,010102
PRGB SIN     ,  75,    ,   ,2021,3,00000000,0,0,20241213,010744
1RG  SIN     ,  75,    ,   ,2021,3,00000000,0,0,20241213,010048
3UT  SIN     , M16, 100,   ,2021,3,00000000,0,0,20241213,010102
GS1EASIN     , 100,    ,   ,2021,3,00000000,10,0,20241213,010344
GZPE SIN     , 100, 450,   ,2021,3,00000000,79,0,20241213,010356
GGTE SIN     , 150, 100,   ,2021,3,00000000,39,0,20241213,010336
GGSE SIN     , 150, 100,   ,2021,3,00000000,11,0,20241213,010332
GGSE SIN     , 100,  75,   ,2021,3,00000000,14,0,20241213,010332
G90E SIN     , 150,    ,   ,2021,3,00000000,27,0,20241213,010320
GG2E SIN     , 150,    ,   ,2021,3,00000000,44,0,20241213,010326
GFTEASIN     , 150,  75,   ,2021,3,00000000,37,0,20241213,010323
KS2ER000     , 600,    ,   ,2022,1,00000000,0,0,20241029,161011
GS1EASIN     , 150,    ,   ,2021,3,00000000,9,0,20241213,010344
GS2EASIN     , 150,    ,   ,2021,3,00000000,9,0,20241213,010347
GS2EASIN     ,  75,    ,   ,2021,3,00000000,5,0,20241213,010347
PRGB SIN     , 150,    ,   ,2021,3,00000000,0,0,20241213,010744
1RG  SIN     , 150,    ,   ,2021,3,00000000,0,0,20241213,010048
G11E SIN     , 100,    ,   ,2021,3,00000000,118,0,20241213,010312
GFTEASIN     , 100,  75,   ,2021,3,00000000,43,0,20241213,010322
GGTE 000     , 150, 100,   ,2021,3,00000000,0,0,20241213,010334
GGTE 000     , 150, 150,   ,2021,3,00000000,0,0,20241213,010334
FSPER000     , 100, 400,   ,2021,2,00000000,0,0,20241213,010248
ZPJE 000     , 100,  50,   ,2021,1,00000000,0,0,20241213,010825
K22E 002     , 250,    ,   ,2021,3,00000000,0,0,20241213,010413
K45E 002     , 300,    ,   ,2021,3,00000000,0,0,20241213,010423
K11E 000     , 450,    ,   ,2021,2,00000000,2,0,20241213,010402
K45E 000     , 450,    ,   ,2021,2,00000000,0,0,20241213,010422
KFTER000     , 450,  75,   ,2021,2,00000000,0,0,20211005,162004
KKTE 000     , 200, 150,   ,2021,1,00000000,0,0,20241213,010519
FSPCR000     ,  75, 250,   ,2021,3,00000000,0,0,20210201,135306
FSPER000     , 150, 300,   ,2021,2,00000000,0,0,20241213,010249
ZPFER000     , 150,  75,   ,2021,2,00000000,0,0,20241213,010822
FFCEA000     , 200,    ,   ,2021,2,00000000,0,0,20241213,010212
F3TNA000     ,  75,  75,   ,2021,2,00000000,0,0,20241213,010150
KKSN 000     , 150, 100,   ,2021,2,00000000,0,0,20241213,010512
KS2NR000     , 200,    ,   ,2021,2,00000000,0,0,20241213,010620
KJRN 000     , 300,    ,   ,2021,2,00000000,0,0,20241213,010459
KKTD 000     , 250, 250,   ,2021,1,00000000,0,0,20241213,010516
NN4D 000     , 400,    ,   ,2021,1,00000000,0,0,20241213,010704
KKUD 000     , 300, 200,   ,2021,1,00000000,0,0,20241213,010528
FRPER000     , 350, 300,   ,2021,1,00000000,0,0,20211109,091410
GS2EA000     , 250,    ,   ,2021,2,00000000,0,0,20241213,010346
GVTEA000     , 250,  75,   ,2021,2,00000000,0,0,20241213,010352
KJRN 000     , 250,    ,   ,2021,2,00000000,0,0,20241213,010458
KP1N 000     , 300,    ,   ,2021,2,00000000,0,0,20241213,010544
N22E 000     , 400,    ,   ,2021,3,00000000,0,0,20210902,111904
KO0050       ,    ,    ,   ,2021,3,00000000,1350,0,20241213,010538
KO0033       ,    ,    ,   ,2021,3,00000000,250,0,20241213,010538
KO0127       ,    ,    ,   ,2021,3,00000000,660,0,20241213,010538
SBMT   000   , 25A,1000,   ,2021,1,00000000,0,0,20241213,010749
SBMT   000   , 25A,2000,   ,2021,1,00000000,0,0,20241213,010749
K22E 000     ,  75,    ,   ,2021,11,00000000,0,0,20241213,010410
955SB9000    ,    ,    ,   ,2021,1,00000000,0,0,20241213,010111
TS2DR000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010805
KKTD 000     , 100,  75,   ,2022,2,00000000,0,0,20241213,010514
ZPFDR000     ,  75,  75,   ,2022,2,00000000,0,0,20241213,010819
FSPDR000     , 150, 300,   ,2022,2,00000000,0,0,20241213,010235
FSPDR000     ,  75, 400,   ,2022,2,00000000,0,0,20241213,010234
KKMD 000     , 300, 100,   ,2022,2,00000000,0,0,20241213,010503
FSPDR000     , 100, 150,   ,2022,2,00000000,0,0,20241213,010235
TTSD 000     , 150, 100,   ,2022,2,00000000,0,0,20241213,010809
F90DR000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010158
ZPFDR000     ,  75,  50,   ,2022,2,00000000,0,0,20241213,010819
F3TDR000     , 100, 100,   ,2022,2,00000000,0,0,20241213,010144
KUTDR000     , 150,  75,   ,2022,2,00000000,0,0,20241213,010622
TFTDR000     , 100,  75,   ,2022,2,00000000,0,0,20241213,010758
TTUD 000     , 100,  75,   ,2022,2,00000000,0,0,20241213,010812
TTTD 000     , 200, 100,   ,2022,2,00000000,0,0,20241213,010810
KUTDR000     ,  75,  75,   ,2022,2,00000000,0,0,20241213,010622
KKSD 000     , 200, 150,   ,2022,2,00000000,0,0,20241213,010505
KS2DR000     , 100,    ,   ,2022,2,00000000,0,0,20241213,010606
TTSD 000     , 100,  75,   ,2022,2,00000000,0,0,20241213,010809
T90D 000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010756
T90D 000     , 200,    ,   ,2022,2,00000000,0,0,20241213,010756
T22D 000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010753
TFTDR000     , 200,  75,   ,2022,2,00000000,0,0,20241213,010758
F3TNR000     ,  75,  75,   ,2022,2,00000000,0,0,20241213,010151
KKUN 000     , 350, 200,   ,2021,2,00000000,0,0,20241213,010536
TTTN 000     , 150, 100,   ,2022,2,00000000,0,0,20241213,010812
TTTN 000     , 150, 150,   ,2022,2,00000000,0,0,20241213,010812
T11N 000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010753
T22N 000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010754
F3TNR000     , 200, 100,   ,2022,2,00000000,0,0,20241213,010151
F3TNA000     , 200, 200,   ,2022,2,00000000,0,0,20241213,010151
F3TNA000     , 200, 100,   ,2022,2,00000000,0,0,20241213,010151
G11E SIN     , 300,    ,   ,2022,1,00000000,0,0,20220131,132121
GG4E SIN     , 300,    ,   ,2022,1,00000000,0,0,20220131,132121
GG2E SIN     , 300,    ,   ,2022,1,00000000,0,0,20220128,133207
GFTEASIN     , 300,  75,   ,2022,1,00000000,0,0,20220222,094346
FSPER000     ,  75, 300,   ,2022,31,00000000,0,0,20221026,163141
DFFM U2000   , 100,    ,   ,2022,1,00000000,0,0,20220125,112159
GGTE SIN     , 150,  75,   ,2022,2,00000000,0,0,20220411,001414
K11N 000     , 600,    ,   ,2022,1,00000000,0,0,20241213,010405
G22E 000     , 150,    ,   ,2022,1,00000000,0,0,20241213,010314
K45D 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010420
K90D 000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010427
K90D 000     , 200,    ,   ,2022,2,00000000,0,0,20241213,010427
F3TDR000     , 250, 100,   ,2022,2,00000000,0,0,20241213,010145
KS1DR000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010547
KS2Z2000     , 200,    ,   ,2022,2,00000000,0,0,20220411,001356
KJRZ 000     , 200,    ,   ,2022,2,00000000,0,0,20241213,010500
KS1ER000     , 400,    ,   ,2022,2,00000000,0,0,20241213,010556
GGTE 000     , 300, 100,   ,2022,2,00000000,0,0,20241213,010335
GGTE 000     , 300, 300,   ,2022,2,00000000,0,0,20241213,010335
GGSE 000     , 300, 100,   ,2022,2,00000000,0,0,20241213,010332
G22E 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010314
G11E 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010311
GG4E 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010327
GG2E 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010325
GS1EA000     , 100,    ,   ,2022,2,00000000,0,0,20241213,010343
GGHE 000     , 200,    ,   ,2022,2,00000000,0,0,20241213,010330
GGHE 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010330
FSPED000     ,  75, 500,   ,2022,2,00000000,0,0,20241213,010243
G45E 000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010316
GGHE 000     , 100,    ,   ,2022,2,00000000,0,0,20241213,010329
GS2EA000     , 300,    ,   ,2022,2,00000000,0,0,20241213,010347
FFCER000     , 600,    ,   ,2022,1,00000000,0,0,20241213,010217
KKUE 000     , 350, 200,   ,2022,2,00000000,0,0,20241213,010532
KKUE 000     , 350, 200,   ,2022,1,00000000,0,0,20241108,132035
FFCE2000     , 100,    ,   ,2022,2,00000000,0,0,20241213,010211
GSPE SIN     , 200,    ,   ,2021,1,00000000,3,0,20241213,010349
GGSE SIN     , 150, 100,   ,2021,1,00000000,1,0,20241213,010332
GGSE SIN     , 200, 150,   ,2021,1,00000000,2,0,20241213,010332
KGTE 000     , 200,    ,   ,2022,1,00000000,0,0,20241213,010451
K90Z 000     , 300,    ,   ,2022,1,00000000,0,0,20230118,001417
KJRZ 000     , 400,    ,   ,2022,1,00000000,0,0,20220912,001357
KKUE 000     , 250, 150,   ,2022,2,00000000,0,0,20241213,010531
ZPFEA000     , 100,  50,   ,2022,2,00000000,0,0,20241213,010820
G45E 000     , 250,    ,   ,2022,2,00000000,0,0,20241213,010316
G05E 000     , 250,    ,   ,2022,2,00000000,0,0,20241213,010309
K90E 113     , 150,    ,   ,2022,1,00000000,0,0,20221017,001505
K45E 113     , 150,    ,   ,2022,1,00000000,0,0,20221128,152052
K22E 113     , 150,    ,   ,2022,1,00000000,0,0,20221128,152052
KJRE 113     , 150,    ,   ,2022,1,00000000,0,0,20221128,152052
F90ES113     , 150,    ,   ,2022,1,00000000,0,0,20220120,115746
KS2ER113     , 150,    ,   ,2022,1,00000000,0,0,20221128,152052
KP1E 113     , 150,    ,   ,2022,1,00000000,0,0,20220120,115627
K90Z 000     , 150,    ,   ,2022,1,00000000,0,0,20220803,105614
K45Z 000     , 150,    ,   ,2022,1,00000000,0,0,20221128,152052
K22Z 000     , 150,    ,   ,2022,1,00000000,0,0,20220120,115746
KJRZ 000     , 150,    ,   ,2022,1,00000000,0,0,20220915,161920
KS2ZA000     , 150,    ,   ,2022,1,00000000,0,0,20220120,115746
KP1Z 000     , 150,    ,   ,2022,1,00000000,0,0,20220120,115746
FSPED000     ,  75, 300,   ,2022,3,00000000,0,0,20241213,010242
F90ES113     , 150,    ,   ,2021,3,00000000,0,0,20220314,001333
KP1Z 000     , 150,    ,   ,2021,3,00000000,0,0,20220314,001333
TTSE 000     , 200, 150,   ,2022,3,00000000,1,0,20241213,010810
ZPFER000     , 150,  50,   ,2022,2,00000000,0,0,20241213,010822
KFTER000     , 400,  75,   ,2022,1,00000000,0,0,20241213,010444
KKSE 000     , 400, 300,   ,2022,1,00000000,0,0,20241213,010510
KFTER000     , 400,  75,   ,2022,3,00000000,0,0,20241213,010444
GGTE SIN     , 100,  75,   ,2022,3,00000000,0,0,20220322,111557
GVTEASIN     , 100,  75,   ,2022,3,00000000,0,0,20220203,143321
G45E SIN     , 200,    ,   ,2022,3,00000000,0,0,20220406,102244
ZPFNA000     , 100,  40,   ,2021,2,00000000,0,0,20241213,010823
GS2NA000     ,  75,    ,   ,2022,1,00000000,0,0,20241213,010348
G22N 000     , 250,    ,   ,2022,1,00000000,0,0,20241213,010315
FSPE2000     , 150, 200,   ,2022,1,00000000,0,0,20220324,112905
FSPE2000     , 150, 250,   ,2022,1,00000000,0,0,20220203,083123
FSPE2000     , 150, 300,   ,2022,1,00000000,0,0,20220719,001352
KS2NR000     , 250,    ,   ,2022,2,00000000,0,0,20241213,010620
TS1N5000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010804
KS2NF000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010619
TS2N5000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010808
TS1NR000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010804
TS1NA000     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010804
GGTE SIN     , 200, 200,   ,2022,3,00000000,0,0,20220307,140537
GGTE SIN     , 200, 150,   ,2022,3,00000000,0,0,20220406,102244
GGTE SIN     , 200, 100,   ,2022,3,00000000,0,0,20220316,140210
GFTEASIN     , 200,  75,   ,2022,3,00000000,0,0,20220311,155653
GJRE SIN     , 200,    ,   ,2022,3,00000000,0,0,20220406,102244
G22E SIN     , 150,    ,   ,2022,3,00000000,0,0,20220406,102244
GGTE SIN     , 150, 100,   ,2022,3,00000000,0,0,20220328,141558
GS1EASIN     , 150,    ,   ,2022,3,00000000,0,0,20220224,094854
GJRE SIN     , 150,    ,   ,2022,3,00000000,0,0,20220406,102244
ZPFER000     , 100,  40,   ,2022,2,00000000,29,0,20241213,010821
F3TER000     , 250, 100,   ,2022,2,00000000,0,0,20241213,010148
KKTE 113     , 200, 200,   ,2022,2,00000000,0,0,20220314,001417
KJRE 113     , 200,    ,   ,2022,2,00000000,0,0,20241213,010457
K45E 113     , 200,    ,   ,2022,2,00000000,0,0,20241213,010423
KS2E2000     , 200,    ,   ,2022,2,00000000,0,0,20241213,010607
K90E 000     , 250,    ,   ,2022,1,00000000,0,0,20241213,010429
FSPEA535     , 100, 150,   ,2022,2,00000000,0,0,20241213,010241
FSPEA535     , 100, 250,   ,2022,2,00000000,0,0,20220810,001428
TS2E2000     , 200,    ,   ,2022,2,00000000,0,0,20220114,140026
TS1E2000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010802
TS1ED000     , 150,    ,   ,2022,2,00000000,0,0,20241213,010803
FSPNA000     ,  75, 200,   ,2021,3,00000000,0,0,20241213,010254
GS2ED000     , 200,    ,   ,2021,1,00000000,9,0,20241213,010347
GG4E 000     , 100,    ,   ,2021,3,00000000,0,0,20241213,010327
GS2ER000     , 100,    ,   ,2021,1,00000000,0,0,20230110,131705
GS1ER000     , 100,    ,   ,2021,1,00000000,0,0,20241213,010345
F3TEA000     , 100, 100,   ,2021,3,00000000,0,0,20210125,143243
FSPEF000     ,  75, 300,   ,2021,1,00000000,0,0,20241213,010244
G22N 000     , 100,    ,   ,2021,1,00000000,0,0,20241213,010315
EETD 990     , 150, 150,   ,2021,1,00000000,0,0,20241213,010141
KKSE 000     , 150, 100,   ,2021,11,00000000,0,0,20211210,091658
GGTE 000     , 100,  75,   ,2021,1,00000000,0,0,20241213,010333
KS1ED000     , 150,    ,   ,2021,2,00000000,0,0,20241213,010552
KS1ED000     , 100,    ,   ,2021,2,00000000,0,0,20241213,010552
KS2ED000     , 100,    ,   ,2021,2,00000000,0,0,20241213,010611
KO0041       ,    ,    ,   ,2021,1,00000000,200,0,20241213,010538
KO0044       ,    ,    ,   ,2021,1,00000000,150,0,20241213,010538
KO0047       ,    ,    ,   ,2021,1,00000000,310,0,20241213,010538
KO0033       ,    ,    ,   ,2021,1,00000000,75,0,20241213,010538
KO0034       ,    ,    ,   ,2021,1,00000000,220,0,20241213,010538
KO0035       ,    ,    ,   ,2021,1,00000000,230,0,20241213,010538
KS1DR000     ,  75,    ,   ,2021,1,00000000,0,0,20241213,010546
FSPD2000     ,  75, 500,   ,2021,1,00000000,0,0,20241213,010232
FSPDR000     , 100, 500,   ,2021,1,00000000,0,0,20241213,010235
KS1D2000     , 100,    ,   ,2021,1,00000000,0,0,20241213,010545
KS2D2000     , 100,    ,   ,2021,1,00000000,0,0,20241213,010605
KS2D2000     , 150,    ,   ,2021,1,00000000,0,0,20241213,010605
KFTDR000     , 200, 100,   ,2021,1,00000000,0,0,20241213,010436
FSPD5000     ,  75, 100,   ,2021,1,00000000,0,0,20241213,010233
FSPD2000     , 150, 100,   ,2021,1,00000000,0,0,20241213,010233
KJRE 000     , 150,    ,   ,2021,2,00000000,0,0,20241213,010454
T45E 000     , 150,    ,   ,2021,31,00000000,0,0,20241213,010755
FFCE5000     , 250,    ,   ,2021,1,00000000,0,0,20210610,132417
FTMN2000     , 400,    ,   ,2021,2,00000000,0,0,20210303,135400
FTMN2000     , 350,    ,   ,2021,2,00000000,0,0,20241213,010306
FSPEA002     ,  75, 400,   ,2021,1,00000000,0,0,20210311,144241
GS2EA000     , 150,    ,   ,2021,11,00000000,0,0,20241213,010346
F90ZR000     , 150,    ,   ,2021,1,00000000,0,0,20210427,170454
KZPE 000     , 200, 450,   ,2021,1,00000000,0,0,20241213,010629
TS2EA000     ,  75,    ,   ,2021,2,00000000,0,0,20241213,010806
E11E K13     , 150,    ,   ,2021,1,00000000,0,0,20241213,010139
K45D 000     , 250,    ,   ,2021,3,00000000,0,0,20241213,010420
K90D 000     , 250,    ,   ,2021,3,00000000,0,0,20241213,010427
K45N 000     , 400,    ,   ,2021,3,00000000,0,0,20241213,010425
K90E 113     , 350,    ,   ,2021,2,00000000,0,0,20241213,010431
K22E 113     , 350,    ,   ,2021,2,00000000,1,0,20241213,010413
KJRE 113     , 300,    ,   ,2021,2,00000000,0,0,20241213,010457
KJRE 113     , 350,    ,   ,2021,2,00000000,0,0,20241213,010457
GVTEA000     ,  75,  75,   ,2021,31,00000000,0,0,20241213,010352
UNMZ   000   ,  55,    ,   ,2022,1,00000000,0,0,20241213,010815
KKTD 000     , 350, 250,   ,2021,3,00000000,0,0,20241213,010517
F3TNA000     , 300, 300,   ,2021,3,00000000,0,0,20241213,010151
K90D 000     , 150,    ,   ,2022,3,00000000,0,0,20241213,010427
KJRD 000     , 300,    ,   ,2022,3,00000000,0,0,20241213,010452
KJRD 000     , 150,    ,   ,2022,3,00000000,0,0,20241213,010452
KS1DR000     , 150,    ,   ,2022,3,00000000,0,0,20241213,010547
GG2E SIN     ,  75,    ,   ,2021,2,00000000,17,0,20241213,010326
GUTEASIN     ,  75,  75,   ,2021,2,00000000,8,0,20241213,010351
GGHE SIN     ,  75,    ,   ,2021,2,00000000,2,0,20241213,010330
G45E SIN     , 200,    ,   ,2021,2,00000000,55,0,20241213,010317
GG2E SIN     , 100,    ,   ,2021,2,00000000,17,0,20241213,010326
GS2EASIN     , 150,    ,   ,2021,2,00000000,5,0,20241213,010347
GS1EASIN     , 250,    ,   ,2022,2,00000000,0,0,20220224,100409
KKSE 000     , 450, 400,   ,2022,2,00000000,0,0,20241213,010510
K45E 000     , 450,    ,   ,2022,2,00000000,2,2,20241213,010422
K22E 000     , 450,    ,   ,2022,2,00000000,0,0,20241213,010412
GS1EASIN     , 150,    ,   ,2022,2,00000000,0,0,20220330,092701
GJRN 000     ,  75,    ,   ,2022,1,00000000,0,0,20241213,010341
FSPD2000     , 200, 595,   ,2022,1,00000000,0,0,20241213,010233
FSPD2000     , 200, 680,   ,2022,1,00000000,0,0,20241213,010233
FSPD2000     , 200, 720,   ,2022,1,00000000,0,0,20241213,010233
K1SD2000     , 200, 265,   ,2022,1,00000000,0,0,20241213,010405
K1SD2000     , 200, 355,   ,2022,1,00000000,0,0,20241213,010405
FSSD 000     , 200, 580,   ,2022,1,00000000,0,0,20241213,010303
FSPCA000     ,  75, 300,   ,2022,3,00000000,0,0,20241213,010231
FFCCA000     , 300,    ,   ,2022,3,00000000,0,0,20241213,010208
GS2DR000     , 200,    ,   ,2022,1,00000000,0,0,20241213,010346
KJRC 000     , 400,    ,   ,2022,3,00000000,0,0,20241213,010451
FSPCA000     ,  75, 500,   ,2022,3,00000000,0,0,20241213,010231
KS1ED000     , 450,    ,   ,2022,2,00000000,0,0,20220804,132821
KS2ED000     , 450,    ,   ,2022,2,00000000,0,0,20221013,115705
DFAG SR000   ,  75, 100,   ,2022,3,00000000,0,0,20221110,152350
FRPZR000     , 150, 100,   ,2022,3,00000000,0,0,20241213,010231
ZPFEA000     , 100, 100,   ,2022,1,00000000,0,0,20241213,010820
GGTE AAA     ,  75,  75,   ,2022,2,00000000,0,0,20220411,122304
GGTE AAA     , 100,  75,   ,2022,2,00000000,0,0,20241213,010336
G45E AAA     , 100,    ,   ,2022,2,00000000,0,0,20241213,010317
G45E AAA     , 250,    ,   ,2022,2,00000000,0,0,20220707,161216
G22E AAA     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010314
G22E AAA     , 150,    ,   ,2022,2,00000000,0,0,20241213,010314
GFTEAAAA     ,  75,  75,   ,2022,2,00000000,0,0,20241213,010322
GFTEAAAA     , 100,  75,   ,2022,2,00000000,0,0,20241213,010322
GFTEAAAA     , 150,  75,   ,2022,2,00000000,0,0,20241213,010322
GUTEAAAA     , 100,  75,   ,2022,2,00000000,0,0,20241213,010351
GJRE AAA     , 100,    ,   ,2022,2,00000000,0,0,20241213,010341
G11E AAA     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010312
G11E AAA     , 100,    ,   ,2022,2,00000000,0,0,20241213,010312
G11E AAA     , 150,    ,   ,2022,2,00000000,0,0,20241213,010312
G11E AAA     , 200,    ,   ,2022,2,00000000,0,0,20241213,010312
G11E AAA     , 250,    ,   ,2022,2,00000000,0,0,20241213,010312
GSPE AAA     , 150,    ,   ,2022,2,00000000,0,0,20220411,122305
GG2E AAA     , 100,    ,   ,2022,2,00000000,0,0,20241213,010325
GG2E AAA     , 200,    ,   ,2022,2,00000000,0,0,20241213,010326
GG4E AAA     ,  75,    ,   ,2022,2,00000000,0,0,20241213,010328
GG4E AAA     , 100,    ,   ,2022,2,00000000,0,0,20241213,010328
GG4E AAA     , 150,    ,   ,2022,2,00000000,0,0,20241213,010328
GS2EAAAA     , 100,    ,   ,2022,2,00000000,0,0,20241213,010347
